Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
1996,JUV,Juventus FC,3,Italy,Big 5,1990,1,Torino,1760085,76575,Italy,IT,43
1996,PAN,Panathinakos FC,2,Greece,Small,1990,0,Athina,3541591,134254,Greece,EL,37
1996,NAN,Nantes,2,France,Big 5,1990,0,Nantes,987264,42914,France,FR,43
1996,SPA,FK Spartak Moscow,1,Russia,East,1990,0,Moscow,12506468,284400,Russia,3,22
1996,RMA,Real Madrid CF,1,Spain,Big 5,1990,1,Madrid,6791667,342534,Spain,ES,50
1996,LIE,Standard Liège,1,Belgium,Small,1990,0,Liège,749534,27960,Belgium,BE,37
1996,DOR,Borussia Dortmund,1,Germany,Big 5,1990,0,Ruhrgebiet,5113487,206526,Germany,DE,40
1997,DOR,Borussia Dortmund,4,Germany,Big 5,1990,0,Ruhrgebiet,5113487,206526,Germany,DE,40
1997,JUV,Juventus FC,3,Italy,Big 5,1990,1,Torino,1760085,76575,Italy,IT,43
1997,AJA,AFC Ajax,2,Netherlands,Small,1990,0,Amsterdam,2769100,200944,Netherlands,NL,72
1997,MNU,Manchester Utd FC,2,England,Big 5,1990,1,Manchester,3348274,136317,United Kingdom,UK,40
1997,ROS,Rosenborg BK,1,Norway,Small,1990,0,Trondheim,282362,13527,Norway,NO,47
1997,ATM,Atletico Madrid CF,1,Spain,Big 5,1990,1,Madrid,6791667,342534,Spain,ES,50
1997,POR,FC Porto,1,Portugal,Small,1990,0,Porto,1272189,38974,Portugal,PT,30
1997,AUX,AJ Auxerre,1,France,Big 5,1990,0,Auxerre,34583,34634,France,FR,1001
1998,RMA,Real Madrid CF,4,Spain,Big 5,1990,1,Madrid,6791667,342534,Spain,ES,50
1998,JUV,Juventus FC,3,Italy,Big 5,1990,1,Torino,1760085,76575,Italy,IT,43
1998,DOR,Borussia Dortmund,2,Germany,Big 5,1990,0,Ruhrgebiet,5113487,206526,Germany,DE,40
1998,MON,AS Monaco,2,France,Big 5,1990,0,Monaco,39244,7424,France,FR,189
1998,MNU,Manchester Utd FC,1,England,Big 5,1990,1,Manchester,3348274,136317,United Kingdom,UK,40
1998,KYV,FC Dynamo Kyiv,1,Ukraine,East,1990,0,Kyiv,2884000,8056,Ukraine,UA,2
1998,BMN,FC Bayern,1,Germany,Big 5,1990,0,München,2883373,241407,Germany,DE,83
1998,LEV,Bayern Leverkusen,1,Germany,Big 5,1990,0,Ruhrgebiet,5113487,206526,Germany,DE,40
1999,MNU,Manchester Utd FC,4,England,Big 5,2000,1,Manchester,3348274,136317,United Kingdom,UK,40
1999,BMN,FC Bayern,3,Germany,Big 5,2000,0,München,2883373,241407,Germany,DE,83
1999,JUV,Juventus FC,2,Italy,Big 5,2000,1,Torino,1760085,76575,Italy,IT,43
1999,KYV,FC Dynamo Kyiv,2,Ukraine,East,2000,0,Kyiv,2884000,8056,Ukraine,UA,2
1999,KAI,FC Kaiserslautern,1,Germany,Big 5,2000,0,Kaiserslautern,276097,10643,Germany,DE,38
1999,OLY,Olympiakos FC,1,Greece,Small,2000,0,Athina,3541591,134254,Greece,EL,37
1999,INT,FC Inter Milan,1,Italy,Big 5,2000,1,Milano,5145657,301366,Italy,IT,58
1999,RMA,Real Madrid CF,1,Spain,Big 5,2000,1,Madrid,6791667,342534,Spain,ES,50
